GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
901,537.38,1172.89,1534.97,131.82,79.89,-65.18,-992.64,-8910.9,509.85,7725.14,-7227.65,69.98,1723.21,-7157.67,-5434.46
911,526.65,1189.74,1541.14,141.72,72.76,-67.08,-1000.56,-9015.86,528.55,7764.9,-7119.32,70.36,1681.96,-7048.96,-5367.0
921,497.76,1208.9,1556.94,136.9,71.28,-79.54,-991.17,-9141.8,522.13,7748.0,-7031.32,70.98,1529.4,-6960.34,-5430.94
931,492.53,1176.08,1582.74,136.44,84.66,-66.51,-981.08,-9214.22,529.95,7763.39,-6976.91,70.87,1503.98,-6906.04,-5402.06
941,508.62,1177.43,1551.74,137.24,80.29,-49.4,-1004.77,-9050.53,499.47,7755.35,-7126.95,70.2,1605.43,-7056.75,-5451.32
951,518.43,1168.54,1571.19,138.41,70.01,-71.92,-988.81,-9239.62,519.91,7782.06,-6954.92,71.08,1468.19,-6883.84,-5415.64
961,514.71,1188.68,1580.09,142.1,73.96,-57.43,-1023.36,-9204.94,512.91,7755.23,-6946.89,69.35,1481.95,-6877.55,-5395.59
971,514.36,1158.86,1547.12,128.83,79.96,-69.84,-983.54,-9188.63,527.56,7740.39,-6977.23,70.34,1455.07,-6906.89,-5451.82
981,534.24,1230.71,1569.0,130.02,71.99,-63.29,-1015.92,-9136.4,500.81,7687.82,-6985.35,70.57,1508.98,-6914.78,-5405.8
991,500.57,1203.97,1544.61,132.39,76.64,-70.1,-989.83,-9142.46,516.92,7689.9,-6971.53,72.08,1462.61,-6899.45,-5436.84
1001,523.02,1181.43,1570.78,140.06,74.29,-76.74,-1007.53,-8871.29,510.03,7733.59,-7261.89,71.32,1777.63,-7190.57,-5412.93
1011,481.49,1214.67,1572.44,133.73,67.34,-71.07,-998.53,-9033.63,511.08,7719.62,-7097.96,70.8,1597.14,-7027.17,-5430.02
1021,557.08,1166.39,1538.59,139.98,74.51,-69.0,-997.84,-8995.99,501.44,7704.26,-7143.62,71.49,1619.43,-7072.13,-5452.7
1031,520.43,1174.15,1560.4,134.8,73.32,-74.57,-1009.33,-9244.57,512.99,7748.12,-6920.6,71.08,1395.75,-6849.52,-5453.77
1041,515.01,1200.78,1574.0,139.45,84.77,-71.09,-987.19,-9102.02,508.13,7673.89,-7029.91,71.37,1535.73,-6958.54,-5422.81
1051,497.2,1190.2,1534.1,143.28,79.25,-53.97,-1006.36,-9162.87,535.71,7766.38,-7005.58,71.95,1522.93,-6933.63,-5410.7
1061,513.69,1180.76,1538.26,139.19,71.23,-65.65,-995.22,-9272.48,520.35,7761.42,-6920.72,70.21,1391.55,-6850.51,-5458.96
1071,520.7,1190.83,1559.88,141.65,81.92,-81.67,-975.68,-9269.48,505.33,7795.15,-6953.56,71.65,1468.63,-6881.91,-5413.28
1081,526.72,1216.81,1575.24,133.45,89.71,-77.08,-1000.1,-9207.62,501.76,7753.43,-6958.77,72.54,1512.31,-6886.22,-5373.92
1091,512.91,1170.31,1542.41,137.21,73.58,-58.19,-987.83,-9276.62,522.01,7774.26,-6918.48,72.18,1410.05,-6846.3,-5436.25
1101,488.68,1228.41,1551.64,137.48,91.45,-72.76,-980.04,-9346.71,514.2,7772.81,-6851.3,71.02,1385.15,-6780.28,-5395.13
1111,501.73,1201.79,1554.71,134.11,76.36,-68.9,-1013.21,-9267.33,499.69,7720.61,-6890.2,72.46,1339.57,-6817.74,-5478.17
1121,498.06,1193.27,1536.16,134.34,76.81,-65.18,-987.5,-9311.9,511.01,7765.23,-6874.44,71.63,1350.3,-6802.81,-5452.51
1131,535.2,1199.6,1551.25,140.42,75.29,-72.37,-990.77,-9223.0,509.12,7706.46,-6915.67,72.18,1431.2,-6843.49,-5412.29
1141,528.37,1205.88,1555.91,139.17,81.18,-65.23,-986.83,-9266.62,504.05,7724.33,-6902.93,72.36,1420.21,-6830.57,-5410.36
1151,488.15,1192.98,1531.66,134.92,77.05,-71.26,-1002.79,-9276.03,520.82,7772.3,-6886.63,70.92,1367.81,-6815.71,-5447.91
1161,499.56,1166.27,1553.28,137.26,74.6,-76.2,-997.97,-9272.96,516.6,7756.46,-6921.61,70.93,1356.89,-6850.68,-5493.79
1171,534.82,1167.58,1574.02,136.01,85.55,-80.8,-1006.95,-9218.22,510.21,7783.97,-6946.3,72.35,1486.19,-6873.95,-5387.75
1181,508.39,1194.04,1537.27,137.31,75.08,-64.95,-1013.57,-9224.36,512.97,7780.7,-6974.24,72.77,1442.89,-6901.47,-5458.58
1191,514.25,1227.17,1573.92,135.27,78.37,-64.87,-1027.16,-9146.3,497.62,7797.37,-7042.34,71.22,1585.64,-6971.11,-5385.47
1201,475.72,1219.25,1553.13,142.2,71.95,-76.69,-1006.35,-9158.53,510.43,7787.31,-7033.72,73.0,1518.42,-6960.72,-5442.3
1211,487.25,1205.21,1545.37,141.63,71.09,-74.51,-996.97,-9063.3,500.31,7749.42,-7120.78,70.5,1565.51,-7050.28,-5484.77
1221,516.86,1190.71,1569.49,137.72,78.72,-60.88,-1007.91,-9163.52,516.07,7690.95,-6971.9,70.72,1468.21,-6901.19,-5432.98
1231,474.58,1183.51,1550.0,123.96,77.31,-89.39,-990.92,-9224.62,516.17,7709.93,-6917.68,70.65,1330.54,-6847.02,-5516.49
1241,487.68,1200.12,1574.53,135.71,83.26,-87.24,-1004.28,-9226.78,502.81,7706.44,-6906.35,70.85,1372.26,-6835.5,-5463.24
1251,517.41,1182.51,1572.24,139.23,75.1,-67.75,-1018.01,-8992.02,519.67,7744.7,-7162.73,72.22,1673.08,-7090.52,-5417.43
1261,494.23,1233.86,1550.86,140.28,62.55,-87.91,-1020.24,-9264.92,516.48,7745.06,-6899.45,71.87,1370.24,-6827.58,-5457.34
1271,540.32,1179.86,1541.14,141.03,77.12,-67.71,-1018.36,-9259.51,486.92,7741.73,-6902.61,69.05,1362.54,-6833.57,-5471.03
1281,481.14,1191.49,1556.93,127.43,83.65,-81.26,-1005.1,-8919.92,511.19,7761.73,-7257.46,71.04,1707.28,-7186.43,-5479.15
1291,522.44,1162.81,1562.43,137.2,74.72,-70.4,-986.04,-9188.27,506.5,7742.71,-6987.33,70.24,1464.09,-6917.09,-5453.0
1301,529.45,1192.49,1575.79,137.76,73.47,-73.54,-1012.53,-9053.39,504.76,7771.75,-7129.7,70.04,1646.02,-7059.66,-5413.64
1311,525.31,1201.9,1586.14,141.14,81.7,-74.95,-999.19,-8955.96,522.7,7771.39,-7223.09,69.47,1800.19,-7153.62,-5353.43
1321,538.17,1173.79,1544.44,138.37,65.93,-71.28,-1010.23,-8819.07,498.61,7736.08,-7320.4,71.8,1794.81,-7248.6,-5453.79
1331,494.79,1180.29,1560.0,136.9,78.77,-63.45,-1017.8,-9009.5,524.8,7748.62,-7140.54,69.88,1633.44,-7070.65,-5437.22
1341,499.96,1170.74,1550.1,124.88,79.4,-69.8,-1003.9,-8985.77,521.53,7770.91,-7199.55,70.0,1658.04,-7129.55,-5471.51
1351,525.42,1203.85,1562.54,142.47,67.24,-73.04,-981.72,-9058.89,501.03,7780.77,-7141.73,70.47,1669.68,-7071.27,-5401.59
1361,469.52,1145.17,1562.68,131.67,71.38,-86.47,-975.17,-9102.73,524.12,7780.2,-7084.59,71.76,1520.37,-7012.83,-5492.47
1371,531.07,1225.07,1550.72,138.4,76.78,-75.54,-1001.01,-8958.02,526.55,7700.5,-7196.04,72.27,1714.52,-7123.77,-5409.25
1381,508.6,1170.82,1559.98,139.8,77.99,-69.64,-978.56,-8906.86,507.02,7733.43,-7256.48,71.46,1742.56,-7185.02,-5442.46
1391,497.14,1183.51,1566.12,143.19,78.11,-84.84,-990.96,-9108.11,521.25,7748.65,-7075.63,71.23,1554.06,-7004.4,-5450.34
1401,494.23,1179.79,1556.37,132.44,87.13,-73.66,-963.2,-9042.26,511.73,7767.96,-7123.21,70.54,1650.52,-7052.67,-5402.15
1411,532.39,1222.27,1534.4,141.05,78.46,-68.21,-991.31,-9171.92,513.07,7732.9,-6989.18,71.42,1523.11,-6917.76,-5394.65
1421,521.12,1256.59,1567.23,144.45,68.38,-78.83,-1014.93,-9254.9,514.14,7749.9,-6901.24,69.85,1473.14,-6831.39,-5358.25
1431,549.39,1186.37,1560.09,137.05,81.18,-61.45,-982.72,-9187.68,507.34,7722.54,-6956.16,70.49,1512.12,-6885.68,-5373.55
1441,512.95,1181.38,1542.49,135.37,76.21,-65.32,-995.91,-9140.83,493.73,7744.96,-7021.58,70.34,1485.03,-6951.24,-5466.22
1451,502.87,1208.43,1543.15,134.17,74.88,-69.81,-1014.25,-9099.67,502.6,7713.79,-7033.87,70.34,1496.16,-6963.53,-5467.37
1461,520.97,1199.34,1535.78,141.26,75.39,-75.4,-1017.04,-9179.0,503.01,7745.73,-6966.68,69.06,1450.04,-6897.62,-5447.58
1471,525.34,1217.15,1549.22,137.04,80.15,-75.84,-1005.92,-9077.08,513.41,7704.77,-7038.48,70.72,1568.25,-6967.76,-5399.51
1481,511.64,1141.98,1542.76,125.83,82.55,-77.97,-980.91,-9148.85,518.0,7752.32,-7016.31,70.01,1467.35,-6946.3,-5478.94
1491,530.2,1174.91,1555.54,141.11,76.08,-62.7,-974.77,-8944.2,511.95,7684.6,-7186.28,72.13,1692.73,-7114.15,-5421.42
1501,500.07,1161.8,1577.71,139.09,78.18,-63.17,-1000.29,-8980.53,526.02,7765.81,-7214.29,71.06,1704.68,-7143.22,-5438.54
1511,505.84,1242.4,1546.39,148.07,83.33,-66.84,-1009.7,-9179.26,516.84,7781.58,-7028.02,70.62,1568.66,-6957.41,-5388.75
1521,518.78,1250.32,1554.06,132.34,86.77,-70.17,-1020.81,-9116.3,488.72,7693.66,-7017.02,69.36,1517.37,-6947.67,-5430.3
